UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408533160960833,0.058,,,,2026-04-17 06:48:53.160960 UTC,2026-04-17 06:48:53.160960,0.676878567
1776408533168652692,0.056,,,,2026-04-17 06:48:53.168652 UTC,2026-04-17 06:48:53.168652,0.684570426
1776408533176344551,0.149,,,,2026-04-17 06:48:53.176344 UTC,2026-04-17 06:48:53.176344,0.692262285
1776408533184036410,0.5690000000000001,,,,2026-04-17 06:48:53.184036 UTC,2026-04-17 06:48:53.184036,0.699954144
1776408533191728269,1.288,,,,2026-04-17 06:48:53.191728 UTC,2026-04-17 06:48:53.191728,0.707646003
1776408533199420128,1.418,,,,2026-04-17 06:48:53.199420 UTC,2026-04-17 06:48:53.199420,0.715337862
1776408533207111987,0.058,,,,2026-04-17 06:48:53.207111 UTC,2026-04-17 06:48:53.207111,0.723029721
1776408533214803846,-1.599,,,,2026-04-17 06:48:53.214803 UTC,2026-04-17 06:48:53.214803,0.73072158
1776408533222495705,-1.621,,,,2026-04-17 06:48:53.222495 UTC,2026-04-17 06:48:53.222495,0.738413439
1776408533230187564,-0.6990000000000001,,,,2026-04-17 06:48:53.230187 UTC,2026-04-17 06:48:53.230187,0.746105298
1776408533237879423,-0.309,,,,2026-04-17 06:48:53.237879 UTC,2026-04-17 06:48:53.237879,0.753797157
1776408533245571282,-0.09,,,,2026-04-17 06:48:53.245571 UTC,2026-04-17 06:48:53.245571,0.761489016
1776408533253263141,0.233,,,,2026-04-17 06:48:53.253263 UTC,2026-04-17 06:48:53.253263,0.769180875
1776408533260955000,0.264,,,,2026-04-17 06:48:53.260955 UTC,2026-04-17 06:48:53.260955,0.776872734
1776408533268646859,0.193,,,,2026-04-17 06:48:53.268646 UTC,2026-04-17 06:48:53.268646,0.784564593
1776408533276338718,0.255,,,,2026-04-17 06:48:53.276338 UTC,2026-04-17 06:48:53.276338,0.792256452
1776408533284030577,0.269,,,,2026-04-17 06:48:53.284030 UTC,2026-04-17 06:48:53.284030,0.799948311
1776408533291722436,0.223,,,,2026-04-17 06:48:53.291722 UTC,2026-04-17 06:48:53.291722,0.80764017
1776408533299414295,0.24,,,,2026-04-17 06:48:53.299414 UTC,2026-04-17 06:48:53.299414,0.815332029
1776408533307106154,0.272,,,,2026-04-17 06:48:53.307106 UTC,2026-04-17 06:48:53.307106,0.823023888
1776408533314798013,0.269,,,,2026-04-17 06:48:53.314798 UTC,2026-04-17 06:48:53.314798,0.830715747
1776408533322489872,0.267,,,,2026-04-17 06:48:53.322489 UTC,2026-04-17 06:48:53.322489,0.838407606
1776408533330181731,0.284,,,,2026-04-17 06:48:53.330181 UTC,2026-04-17 06:48:53.330181,0.846099465
1776408533337873590,0.296,,,,2026-04-17 06:48:53.337873 UTC,2026-04-17 06:48:53.337873,0.853791324
1776408533345565449,0.296,,,,2026-04-17 06:48:53.345565 UTC,2026-04-17 06:48:53.345565,0.861483183
1776408533353257308,0.309,,,,2026-04-17 06:48:53.353257 UTC,2026-04-17 06:48:53.353257,0.869175042
1776408533360949167,0.323,,,,2026-04-17 06:48:53.360949 UTC,2026-04-17 06:48:53.360949,0.876866901
1776408533368641026,0.333,,,,2026-04-17 06:48:53.368641 UTC,2026-04-17 06:48:53.368641,0.88455876
1776408533376332885,0.345,,,,2026-04-17 06:48:53.376332 UTC,2026-04-17 06:48:53.376332,0.892250619
1776408533384024744,0.365,,,,2026-04-17 06:48:53.384024 UTC,2026-04-17 06:48:53.384024,0.899942478
1776408533391716603,0.377,,,,2026-04-17 06:48:53.391716 UTC,2026-04-17 06:48:53.391716,0.907634337
1776408533399408462,0.377,,,,2026-04-17 06:48:53.399408 UTC,2026-04-17 06:48:53.399408,0.915326196
1776408533407100321,0.375,,,,2026-04-17 06:48:53.407100 UTC,2026-04-17 06:48:53.407100,0.923018055
1776408533414792180,0.385,,,,2026-04-17 06:48:53.414792 UTC,2026-04-17 06:48:53.414792,0.930709914
1776408533422484039,0.382,,,,2026-04-17 06:48:53.422484 UTC,2026-04-17 06:48:53.422484,0.938401773
1776408533430175898,0.355,,,,2026-04-17 06:48:53.430175 UTC,2026-04-17 06:48:53.430175,0.946093632
1776408533437867757,0.321,,,,2026-04-17 06:48:53.437867 UTC,2026-04-17 06:48:53.437867,0.953785491
1776408533445559616,0.296,,,,2026-04-17 06:48:53.445559 UTC,2026-04-17 06:48:53.445559,0.96147735
1776408533453251475,0.264,,,,2026-04-17 06:48:53.453251 UTC,2026-04-17 06:48:53.453251,0.969169209
1776408533460943334,0.211,,,,2026-04-17 06:48:53.460943 UTC,2026-04-17 06:48:53.460943,0.976861068
1776408533468635193,0.164,,,,2026-04-17 06:48:53.468635 UTC,2026-04-17 06:48:53.468635,0.984552927
1776408533476327052,0.132,,,,2026-04-17 06:48:53.476327 UTC,2026-04-17 06:48:53.476327,0.992244786
1776408533484018911,0.098,,,,2026-04-17 06:48:53.484018 UTC,2026-04-17 06:48:53.484018,0.999936645
1776408533491710770,0.053,,,,2026-04-17 06:48:53.491710 UTC,2026-04-17 06:48:53.491710,1.007628504
1776408533499402629,0.026,,,,2026-04-17 06:48:53.499402 UTC,2026-04-17 06:48:53.499402,1.015320363
1776408533507094488,0.019,,,,2026-04-17 06:48:53.507094 UTC,2026-04-17 06:48:53.507094,1.023012222
1776408533514786347,0.007,,,,2026-04-17 06:48:53.514786 UTC,2026-04-17 06:48:53.514786,1.030704081
1776408533522478206,-0.004,,,,2026-04-17 06:48:53.522478 UTC,2026-04-17 06:48:53.522478,1.03839594
1776408533530170065,0.002,,,,2026-04-17 06:48:53.530170 UTC,2026-04-17 06:48:53.530170,1.046087799
1776408533537861924,0.009,,,,2026-04-17 06:48:53.537861 UTC,2026-04-17 06:48:53.537861,1.053779658
1776408533545553783,0.009,,,,2026-04-17 06:48:53.545553 UTC,2026-04-17 06:48:53.545553,1.061471517
1776408533553245642,0.017,,,,2026-04-17 06:48:53.553245 UTC,2026-04-17 06:48:53.553245,1.069163376
1776408533560937501,0.014,,,,2026-04-17 06:48:53.560937 UTC,2026-04-17 06:48:53.560937,1.076855235
1776408533568629360,0.017,,,,2026-04-17 06:48:53.568629 UTC,2026-04-17 06:48:53.568629,1.084547094
1776408533576321219,0.036,,,,2026-04-17 06:48:53.576321 UTC,2026-04-17 06:48:53.576321,1.092238953
1776408533584013078,0.044,,,,2026-04-17 06:48:53.584013 UTC,2026-04-17 06:48:53.584013,1.099930812
1776408533591704937,0.044,,,,2026-04-17 06:48:53.591704 UTC,2026-04-17 06:48:53.591704,1.107622671
1776408533599396796,0.056,,,,2026-04-17 06:48:53.599396 UTC,2026-04-17 06:48:53.599396,1.11531453
1776408533607088716,0.056,75.0,,,2026-04-17 06:48:53.607088 UTC,2026-04-17 06:48:53.607088,1.12300645
1776408533614780575,0.036,,,,2026-04-17 06:48:53.614780 UTC,2026-04-17 06:48:53.614780,1.130698309
1776408533622472434,0.034,,,,2026-04-17 06:48:53.622472 UTC,2026-04-17 06:48:53.622472,1.138390168
1776408533630164293,0.051,,,,2026-04-17 06:48:53.630164 UTC,2026-04-17 06:48:53.630164,1.146082027
1776408533637856152,0.056,,,,2026-04-17 06:48:53.637856 UTC,2026-04-17 06:48:53.637856,1.153773886
1776408533645548011,0.041,,,,2026-04-17 06:48:53.645548 UTC,2026-04-17 06:48:53.645548,1.161465745
1776408533653239870,0.031,,,,2026-04-17 06:48:53.653239 UTC,2026-04-17 06:48:53.653239,1.169157604
1776408533660931729,0.039,,,,2026-04-17 06:48:53.660931 UTC,2026-04-17 06:48:53.660931,1.176849463
1776408533668623588,0.036,,,,2026-04-17 06:48:53.668623 UTC,2026-04-17 06:48:53.668623,1.184541322
1776408533676315447,0.024,,,,2026-04-17 06:48:53.676315 UTC,2026-04-17 06:48:53.676315,1.192233181
1776408533684007306,0.014,,,,2026-04-17 06:48:53.684007 UTC,2026-04-17 06:48:53.684007,1.19992504
1776408533691699165,0.004,,,,2026-04-17 06:48:53.691699 UTC,2026-04-17 06:48:53.691699,1.207616899
1776408533699391024,0.0,,,,2026-04-17 06:48:53.699391 UTC,2026-04-17 06:48:53.699391,1.215308758
1776408533707082883,-0.002,,,,2026-04-17 06:48:53.707082 UTC,2026-04-17 06:48:53.707082,1.223000617
1776408533714774742,-0.007,,,,2026-04-17 06:48:53.714774 UTC,2026-04-17 06:48:53.714774,1.230692476
1776408533722466601,0.007,,,,2026-04-17 06:48:53.722466 UTC,2026-04-17 06:48:53.722466,1.238384335
1776408533730158460,0.019,,,,2026-04-17 06:48:53.730158 UTC,2026-04-17 06:48:53.730158,1.246076194
1776408533737850319,0.014,,,,2026-04-17 06:48:53.737850 UTC,2026-04-17 06:48:53.737850,1.253768053
1776408533745542178,0.009,,,,2026-04-17 06:48:53.745542 UTC,2026-04-17 06:48:53.745542,1.261459912
1776408533753234037,0.017,,,,2026-04-17 06:48:53.753234 UTC,2026-04-17 06:48:53.753234,1.269151771
1776408533760925896,0.019,,,,2026-04-17 06:48:53.760925 UTC,2026-04-17 06:48:53.760925,1.27684363
